5.00	6.00	1.00	1.80	2.50
5.50	6.00	1.20	2.10	2.70
5.30	6.50	0.90	1.60	2.80
4.90	5.50	1.40	1.70	2.60
5.20	6.30	1.30	1.70	2.70
5.10	6.00	1.10	2.00	2.50
5.40	6.20	1.00	2.20	2.40
5.30	6.20	1.20	1.60	2.50
5.00	6.10	1.10	2.10	2.70
5.20	6.30	1.00	2.00	2.70
5.10	6.00	1.30	1.80	2.80
5.50	5.70	0.90	1.60	2.40
5.20	5.60	1.10	1.90	2.70
5.00	6.00	1.30	1.80	2.50
4.90	5.90	1.30	1.70	2.50
5.10	5.70	1.00	2.00	2.40
5.10	5.90	1.10	2.00	2.50
5.00	5.80	0.90	1.90	2.60
5.50	5.70	1.00	1.80	2.60
5.10	5.80	1.00	2.10	2.60
5.00	5.80	1.30	1.90	2.40
5.20	6.00	1.10	2.10	2.50
5.30	6.50	0.90	2.00	2.70
5.30	6.50	1.00	2.00	2.70
